post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
49402232,Why your local LLM feels dumber than it is,technology,420,171,felineflock,2026-08-23 15:27:28.399505,0.40617577197149646,True
49406285,Fast and Hard Code,technology,82,45,tosh,2026-08-23 15:27:28.399512,0.5421686746987951,False
49406387,JIT Compiling Code in 5μs,technology,124,80,zX41ZdbW,2026-08-23 15:27:28.399523,0.64,False
49409184,Authoritarianism of Code,technology,10,4,wqlander,2026-08-23 15:27:28.399617,0.36363636363636365,False
49387959,How a Texas student blew the whistle on a rogue AI hacking attempt,technology,188,98,olalonde,2026-08-23 15:27:28.399633,0.5185185185185185,True
49379732,ATProto spaces: A new extension to ATProto that enables non-public data,technology,160,27,grappler,2026-08-23 15:27:28.399641,0.16770186335403728,True
49407944,"Andrew Ng: ""AI Engineering Skills Map: Building and Deploying AI Applications""",technology,16,0,Anon84,2026-08-23 15:27:28.399711,0.0,False
49392536,One night in Uzbekistan: Why was this one data point so influential?,technology,103,25,paulpauper,2026-08-23 15:27:28.400484,0.2403846153846154,False
49406751,Steve French (SMB3/CIFSFS Linux kernel maintainer) has died,technology,36,0,starkparker,2026-08-23 15:27:28.400546,0.0,False
49408732,Airbus bows to remote working demands after series of strikes,technology,7,4,vrganj,2026-08-23 15:27:28.400575,0.5,False
49393051,A week of using Codex more than Claude,technology,231,244,speckx,2026-08-23 15:27:28.400587,1.0517241379310345,True
49380303,Early-life stress leaves a 'scar' inside brain cells in mice,technology,142,73,gmays,2026-08-23 15:27:28.400624,0.5104895104895105,True
49364296,Show HN: terminal-code – VS Code inside the terminal,technology,101,26,robpruzan,2026-08-23 15:27:28.400631,0.2549019607843137,False
49386895,Felony charges for citizen deleting phone data at US Border,technology,1076,1323,floathub,2026-08-23 15:27:28.400706,1.2284122562674096,True
49383026,AI companies destroy physical books – let's scan rare books before it's too late,technology,623,899,Cider9986,2026-08-23 15:27:28.400728,1.4407051282051282,True
49392099,How Thailand Resisted Colonization,technology,131,49,karakoram,2026-08-23 15:27:28.400734,0.3712121212121212,True
