post_id,title,category,score,num_comments,author,collected_at
49402232,Why your local LLM feels dumber than it is,technology,420,171,felineflock,2026-08-23 15:27:28.399505
49406285,Fast and Hard Code,technology,82,45,tosh,2026-08-23 15:27:28.399512
49406387,JIT Compiling Code in 5μs,technology,124,80,zX41ZdbW,2026-08-23 15:27:28.399523
49409184,Authoritarianism of Code,technology,10,4,wqlander,2026-08-23 15:27:28.399617
49387959,How a Texas student blew the whistle on a rogue AI hacking attempt,technology,188,98,olalonde,2026-08-23 15:27:28.399633
49379732,ATProto spaces: A new extension to ATProto that enables non-public data,technology,160,27,grappler,2026-08-23 15:27:28.399641
49407944,"Andrew Ng: ""AI Engineering Skills Map: Building and Deploying AI Applications""",technology,16,0,Anon84,2026-08-23 15:27:28.399711
49392536,One night in Uzbekistan: Why was this one data point so influential?,technology,103,25,paulpauper,2026-08-23 15:27:28.400484
49406751,Steve French (SMB3/CIFSFS Linux kernel maintainer) has died,technology,36,0,starkparker,2026-08-23 15:27:28.400546
49408732,Airbus bows to remote working demands after series of strikes,technology,7,4,vrganj,2026-08-23 15:27:28.400575
49393051,A week of using Codex more than Claude,technology,231,244,speckx,2026-08-23 15:27:28.400587
49380303,Early-life stress leaves a 'scar' inside brain cells in mice,technology,142,73,gmays,2026-08-23 15:27:28.400624
49364296,Show HN: terminal-code – VS Code inside the terminal,technology,101,26,robpruzan,2026-08-23 15:27:28.400631
49386895,Felony charges for citizen deleting phone data at US Border,technology,1076,1323,floathub,2026-08-23 15:27:28.400706
49383026,AI companies destroy physical books – let's scan rare books before it's too late,technology,623,899,Cider9986,2026-08-23 15:27:28.400728
49392099,How Thailand Resisted Colonization,technology,131,49,karakoram,2026-08-23 15:27:28.400734
49405117,Software Engineering in the Agentic Era,technology,26,9,silverpiranha,2026-08-23 15:27:28.400749
49401549,Anthropic appears to be A/B testing reduced effort levels in Claude Code,technology,196,175,matthieu_bl,2026-08-23 15:27:28.400912
49394827,"Show HN: OzBrain, a shared brain for knowledge between agents and your team",technology,85,50,dariusmonsef,2026-08-23 15:27:28.400959
49389441,I ran Photoshop on a £0.60 computer chip,technology,148,45,colinprince,2026-08-23 15:27:28.401021
49405717,Grep: Structural Code Search,technology,6,0,handfuloflight,2026-08-23 15:27:28.401127
49364721,A revisit of remote Spectre attacks on Cloudflare Workers,technology,76,4,albertpedersen,2026-08-23 15:27:28.401136
49390463,"Building an (almost) fully self-hosted, sandboxed, agentic software factory",technology,116,65,jakelsaunders94,2026-08-23 15:27:28.401149
49390308,What happens when a GPU reads memory,technology,112,19,ibobev,2026-08-23 15:27:28.401179
49375719,Anti-AI fonts are useless and harmful,technology,210,165,speckx,2026-08-23 15:27:28.401185
49408550,Malware infects Android-based automotive head unit firmware,worldnews,90,42,campuscodi,2026-08-23 15:27:28.399369
49404932,A look at CrossPoint e-reader firmware,worldnews,14,1,pykello,2026-08-23 15:27:28.400795
49407477,"Canada now 'at war' with United States over trade, Prime Minister says",worldnews,26,11,Fellwaa,2026-08-23 15:27:28.401054
49380200,Protocol-Aware Deterministic Simulation Testing,worldnews,13,0,sebg,2026-08-23 15:27:28.401367
49403074,"QEMU, now with almost full NeXT Black/M68K hardware support",worldnews,7,0,wmlive,2026-08-23 15:27:28.402787
49400900,Wildfires across Europe detonate forgotten World War bombs,worldnews,25,2,geox,2026-08-23 15:27:28.403034
49404904,"European wildfires expose, detonate buried bombs and mines from past wars",worldnews,8,1,littlexsparkee,2026-08-23 15:27:28.403327
49351324,Beware Management Consultants,worldnews,623,158,KolmogorovComp,2026-08-23 15:27:28.403460
49404624,Jane Street took $15B hit in July tied to Situational Awareness,worldnews,10,6,paulpauper,2026-08-23 15:27:28.403544
49391447,Show HN: Oasis - Giving Agents Situational Awareness,worldnews,7,3,ns90001,2026-08-23 15:27:28.403943
49374045,Show HN: Sitmap – a World in Conflict inspired map maker for Cold War scenarios,worldnews,9,4,tomaytotomato,2026-08-23 15:27:28.405376
49373865,Protocol-Aware Deterministic Simulation Testing,worldnews,12,0,jorangreef,2026-08-23 15:27:28.405396
49373822,Conway's Game of Life in real life,sports,64,13,surprisetalk,2026-08-23 15:27:28.400530
49363710,Launch HN: OneCLI (YC S26) – OSS sandboxed agent harness for teams,sports,87,31,guyb3,2026-08-23 15:27:28.401820
49355607,Show HN: Automatically detect and patch walking-dead states in Sierra games,sports,161,97,wkfauna,2026-08-23 15:27:28.403289
49355142,Sticky wage norms and the real wage cost of unexpected inflation,sports,391,286,jplusequalt,2026-08-23 15:27:28.404218
49383582,Micron announces $10B research hub in Boise,science,129,71,osnium123,2026-08-23 15:27:28.401274
49377853,I should have loved biology (2020),science,336,130,tyre,2026-08-23 15:27:28.401713
49362934,"Remote workers report the highest well-being in study of 7,700 employees",science,647,351,downbad_,2026-08-23 15:27:28.402844
49378630,Watching TikTok and Instagram deactivates the cognitive control network: Study,science,354,120,Akasci,2026-08-23 15:27:28.403073
49406218,Before-and-after images show where SpaceX rocket crashed into the moon,science,5,0,1vuio0pswjnm7,2026-08-23 15:27:28.403133
49396060,New human genome has almost no gaps,science,6,0,gmays,2026-08-23 15:27:28.403361
49375439,Meta's Internal Research,science,13,3,throw0101d,2026-08-23 15:27:28.404459
49408858,"My favorite nonfiction books about cults, scams, and schemes",entertainment,49,14,bwb,2026-08-23 15:27:28.399408
49407309,Show HN: Live 3D satellite tracker and the declassified Pentagon UFO archive,entertainment,36,17,skylensspace,2026-08-23 15:27:28.399486
49402213,Figmimic – A bookmarklet to copy any webpage into Figma as editable layers,entertainment,119,20,speckx,2026-08-23 15:27:28.399686
49389846,"Show HN: Public Muscriptor Instance (latest, most powerful Audio-to-MIDI model)",entertainment,52,12,jardy,2026-08-23 15:27:28.400509
49402181,I set a trap for a book-marketing scammer (2025),entertainment,65,41,rznicolet,2026-08-23 15:27:28.400559
49402521,Show HN: Make your logo extra bright on HDR screens,entertainment,64,85,telecuda,2026-08-23 15:27:28.400770
49361478,Show HN: Anonymous age verification with passkey-powered encryption,entertainment,40,19,mikeysight,2026-08-23 15:27:28.400853
49391168,Show HN: Rotation via Double Reflection,entertainment,57,12,laszlokorte,2026-08-23 15:27:28.400998
49392677,Show HN: Zcomplete – Shell Typo Correction,entertainment,16,3,omarfakih,2026-08-23 15:27:28.401251
49355105,Children's stunted lungs show recovery in ultra low emission zone,entertainment,416,410,dabinat,2026-08-23 15:27:28.401450
49378950,Tidal Cycles – Live coding music with Algorithmic patterns,entertainment,80,16,gjvc,2026-08-23 15:27:28.402765
49375244,Show HN: Open-source Stripe Connect alternative,entertainment,83,36,tinyprojects,2026-08-23 15:27:28.402819
49377660,Show HN: We chased a weather balloon across Montana and never found it,entertainment,60,26,radeeyate,2026-08-23 15:27:28.403559
49395297,"Show HN: EchoVault, an app that interviews you and answers as you after death",entertainment,9,6,kingbillion1,2026-08-23 15:27:28.403658
49354664,"Show HN: Interactive, animated architecture of any HuggingFace models",entertainment,113,12,lizhaoliu,2026-08-23 15:27:28.403684
49382022,"Show HN: ParqDB – Vector search in the browser from Parquet over HTTP""",entertainment,26,4,petrizhang,2026-08-23 15:27:28.403722
49394759,"I own 28,000 books – here's what I've learned",entertainment,27,6,bvanbranden,2026-08-23 15:27:28.404072
49403831,Books That Will Change the Way You Look at the World,entertainment,7,6,theanonymousone,2026-08-23 15:27:28.404151
49364223,Show HN: Frugal Tokens – explore costs and usage across coding agents,entertainment,37,10,dpc94,2026-08-23 15:27:28.404291
49389972,"Show HN: Gramola, a CoverFlow-style music dock for macOS",entertainment,7,2,fulltimefeline,2026-08-23 15:27:28.404439
49389593,Show HN: SteppeWM – a stacking IceWM-like Wayland compositor,entertainment,8,6,uncognic,2026-08-23 15:27:28.404479
49388753,Show HN: A coding-agent workbench built around Matt Pocock's coding workflow,entertainment,5,3,chandramoulyKK,2026-08-23 15:27:28.404514
